wine_name,link,country,type,grape,classification,description,evaluation,rating_count,lowest_price,full_price,discount
Portas da Herdade Reserva Tinto 2016,wine.com.br/vinhos/portas-da-herdade-reserva-tinto-2016/prod23195.html,Portugal,tinto,"Syrah, Touriga Nacional, Aragonês",Seco,"Médio corpo, frutado, amadeirado, especiarias, taninos macios, fresco",5.0,2.0,102.24,148.9,0.31336467427803905
Marianne Selena Blend 2015,wine.com.br/vinhos/marianne-selena-blend-2015/prod19499.html,África do Sul,tinto,"Cabernet Sauvignon, Cabernet Sauvignon, Shiraz",Seco,"Médio corpo, fresco, frutado",4.0,66.0,95.18,132.9,0.28382242287434156
Marianne Selena Pinotage 2016,wine.com.br/vinhos/marianne-selena-pinotage-2016/prod17610.html,África do Sul,tinto,Pinotage (100%),Seco,"Frutado, taninos firmes, acidez agradável, bom final",4.0,37.0,95.18,132.9,0.28382242287434156
V9 Gran Reserva Single Vineyard Carménère 2017,wine.com.br/vinhos/v9-gran-reserva-single-vineyard-carmenere-2017/prod22178.html,Chile,tinto,Carménère (100.00%),Seco,"Médio corpo, acidez agradável, taninos macios, especiarias, bom final",4.5,85.0,90.47,97.9,0.07589376915219614
Bridlewood Paso Robles Cabernet Sauvignon 2017,wine.com.br/vinhos/bridlewood-paso-robles-cabernet-sauvignon-2017/prod22614.html,Estados Unidos,tinto,"Cabernet Sauvignon (88%), Merlot (2%), Petite Sirah (10%)",Meio Seco/Demi-Sec,"Médio corpo, fresco, taninos macios, bom final, frutado, amadeirado",4.0,11.0,152.82,165.9,0.07884267631103081
La Mora D.O.C. Maremma Toscana Merlot 2015,wine.com.br/vinhos/la-mora-d-o-c-maremma-toscana-merlot-2015/prod20109.html,Itália,tinto,Merlot (100.00%),Seco,"Frutado, médio corpo, fresco, taninos sedosos",4.0,17.0,88.12,132.9,0.33694507148231756
Fleur du Cap Essence du Cap Shiraz 2016,wine.com.br/vinhos/fleur-du-cap-essence-du-cap-shiraz-2016/prod19152.html,África do Sul,tinto,Shiraz (100.00%),Seco,"Taninos presentes, frutado, corpo de médio para encorpado, bom final, amadeirado",4.0,31.0,84.59,117.9,0.28252756573367266
V9 Gran Reserva Single Vineyard Cabernet Sauvignon 2017,wine.com.br/vinhos/v9-gran-reserva-single-vineyard-cabernet-sauvignon-2017/prod22176.html,Chile,tinto,"Cabernet Sauvignon (90.00%), Carménère (10.00%)",Seco,"Encorpado, taninos presentes, fresco",4.5,58.0,96.35,97.9,0.015832482124617075
Carlos Reynolds 2017,wine.com.br/vinhos/carlos-reynolds-2017/prod23757.html,Portugal,tinto,"Trincadeira , Alfrocheiro, Alicante Bouschet",Seco,"Amadeirado, especiarias, fresco, frutado, taninos presentes, bom final",0.0,0.0,94.0,147.9,0.3644354293441515
Julian Reynolds Grande Reserva 2011,wine.com.br/vinhos/julian-reynolds-grande-reserva-2011/prod23759.html,Portugal,tinto,"Cabernet Sauvignon (40%), Alicante Bouschet (40%), Syrah (20%)",Seco,"Complexo, potente, maduro, boa acidez, taninos presentes, elegante, final longo",0.0,0.0,289.29,346.9,0.16607091380801375
