wine_name,link,country,type,description,evaluation,rating_count,lowest_price,full_price,discount,vivino_name,vivino_link,vivino_score,vivino_rating,vivino_price
Casa Burmester Reserva D.O.C. Douro Tinto 2016,wine.com.br/vinhos/casa-burmester-reserva-d-o-c-douro-tinto-2016/prod22208.html,Portugal,tinto,"Corpo de médio para encorpado, taninos macios, fresco, bom final",4.5,10.0,162.24,238.9,0.3208874005860193,Casa Castro Malheiro DeCastroMalheiro Tinto Douro DOC Reserva 2016,www.vivino.com/wines/152668385,4.1,10.0,
V9 Gran Reserva Single Vineyard Cabernet Sauvignon 2017,wine.com.br/vinhos/v9-gran-reserva-single-vineyard-cabernet-sauvignon-2017/prod22176.html,Chile,tinto,"Encorpado, taninos presentes, fresco",4.5,52.0,96.35,97.9,0.015832482124617075,V9 Single Vineyard Gran Reserva Cabernet Sauvignon 2017,www.vivino.com/wines/152668688,3.6,584.0,52.0
Maison Foucher Le Mont A.O.C. Sancerre Rouge 2017,wine.com.br/vinhos/maison-foucher-le-mont-a-o-c-sancerre-rouge-2017/prod22190.html,França,tinto,"Corpo de leve para médio, boa acidez, taninos presentes",0.0,0.0,257.53,284.9,0.09606879606879615,Foucher Lebrun Le Mont Sancerre Rouge 2017,www.vivino.com/wines/156998131,3.7,48.0,
Château de La Rivière A.O.C. Fronsac 2011,wine.com.br/vinhos/chateau-de-la-riviere-a-o-c-fronsac-2011/prod22211.html,França,tinto,"Encorpado, taninos macios, acidez agradável, maduro, final longo",4.5,6.0,346.94,377.9,0.08192643556496426,Château de la Rivière Fronsac 2011,www.vivino.com/wines/3582440,3.8,325.0,
V9 Gran Reserva Single Vineyard Carménère 2017,wine.com.br/vinhos/v9-gran-reserva-single-vineyard-carmenere-2017/prod22178.html,Chile,tinto,"Médio corpo, acidez agradável, taninos macios, especiarias, bom final",4.5,75.0,96.35,97.9,0.015832482124617075,V9 Single Vineyard Gran Reserva Carménère 2017,www.vivino.com/wines/157101429,3.7,318.0,
Les Tours de La Rivière A.O.C. Fronsac 2016,wine.com.br/vinhos/les-tours-de-la-riviere-a-o-c-fronsac-2016/prod22209.html,França,tinto,"Frutado, médio corpo, taninos macios, boa acidez",4.0,5.0,108.12,204.9,0.4723279648609078,Château de la Rivière Les Tours Fronsac 2016,www.vivino.com/wines/155236202,3.5,34.0,
Miguel Torres Hemisferio Sur Reserva Carménère 2017,wine.com.br/vinhos/miguel-torres-hemisferio-sur-reserva-carmenere-2017/prod22095.html,Chile,tinto,"Corpo de leve para médio, taninos macios, acidez agradável",4.0,75.0,49.29,64.9,0.2405238828967643,Miguel Torres Hemisferio Sur Reserva Carménère 2017,www.vivino.com/wines/160303504,3.3,236.0,
Ernst Loosen Winemakers Select Pfalz Edition Pinot Noir 2017,wine.com.br/vinhos/ernst-loosen-winemakers-select-pfalz-edition-pinot-noir-2017/prod22118.html,Alemanha,tinto,"Leve, acidez presente, taninos sedosos",4.0,23.0,96.35,119.9,0.19641367806505428,Ernst Loosen Winemaker's Select Pinot Noir 2017,www.vivino.com/wines/157879073,3.6,253.0,
Píxide D.O. Ribera del Duero Tempranillo 2016,wine.com.br/vinhos/pixide-d-o-ribera-del-duero-tempranillo-2016/prod22086.html,Espanha,tinto,"Frutado, bom corpo, acidez agradável, taninos presentes",4.0,13.0,84.59,137.9,0.38658448150833935,Marta Mate Píxide Tempranillo 2016,www.vivino.com/wines/147335953,3.4,145.0,
Ghost Pines Winemakers Blend Red 2016,wine.com.br/vinhos/ghost-pines-winemakers-blend-red-2016/prod22144.html,Estados Unidos,tinto,"Bom corpo, acidez agradável, taninos macios",4.0,6.0,253.9,253.9,0.0,Ghost Pines Red Blend 2016,www.vivino.com/wines/97343090,3.8,370.0,162.5
Teorema D.O. Calatayud Garnacha 2016,wine.com.br/vinhos/teorema-d-o-calatayud-garnacha-2016/prod22133.html,Espanha,tinto,"Fresco, com bom corpo e nuances frutadas. ",4.0,14.0,58.71,107.9,0.4558850787766451,Bodegas y Viñedos del Jalón Teorema Viñas Viejas Garnacha 2016,www.vivino.com/wines/148258013,3.5,42.0,
Apothic Crush 2016,wine.com.br/vinhos/apothic-crush-2016/prod22142.html,Estados Unidos,tinto,"Frutado, médio corpo, taninos presentes, boa acidez, doçura discreta",4.5,27.0,108.12,141.9,0.23805496828752648,Apothic Crush (Smooth Red Blend) 2016,www.vivino.com/wines/86701831,3.6,2465.0,
MacMurray Russian River Valley Pinot Noir 2016,wine.com.br/vinhos/macmurray-russian-river-valley-pinot-noir-2016/prod22150.html,Estados Unidos,tinto,"Frutado, corpo de leve para médio, taninos macios, acidez agradável",0.0,0.0,298.71,431.9,0.30838156980782594,MacMurray Pinot Noir 2016,www.vivino.com/wines/140608218,3.9,1416.0,170.0
Frei Brothers Reserve Russian River Pinot Noir 2016,wine.com.br/vinhos/frei-brothers-reserve-russian-river-pinot-noir-2016/prod22146.html,Estados Unidos,tinto,"Corpo de leve para médio, taninos macios, acidez agradável",3.5,3.0,210.47,292.9,0.28142710822806416,Frei Brothers Reserve Pinot Noir 2016,www.vivino.com/wines/163963921,,,
Carnivor Zinfandel 2017,wine.com.br/vinhos/carnivor-zinfandel-2017/prod22151.html,Estados Unidos,tinto,"Médio corpo, frutado, acidez agradável, amadeirado, taninos macios, traço de doçura, final agradável",4.5,28.0,117.53,117.53,0.0,Carnivor Zinfandel 2017,www.vivino.com/wines/150690376,3.9,2937.0,
William Hill Central Coast Merlot 2016,wine.com.br/vinhos/william-hill-central-coast-merlot-2016/prod22148.html,Estados Unidos,tinto,"Médio corpo, fresco, taninos sedosos, pimenta preta, tosta",0.0,0.0,214.9,214.9,0.0,William Hill Central Coast Merlot 2016,www.vivino.com/wines/97644153,3.7,189.0,98.0
Maycas del Limarí Reserva Especial Syrah 2016,wine.com.br/vinhos/maycas-del-limari-reserva-especial-syrah-2016/prod22350.html,Chile,tinto,"Corpo de médio para encorpado, boa acidez, frutado, amadeirado",4.5,9.0,165.76,177.9,0.0682405845980889,Maycas del Limari Reserva Especial Syrah 2016,www.vivino.com/wines/143542996,3.8,132.0,91.0
Maison Bouachon Cotes Du Rhone Signargues Les Bariannes Aoc 2017,wine.com.br/vinhos/maison-bouachon-cotes-du-rhone-signargues-les-bariannes-aoc-2017/prod22358.html,França,tinto,"Frutado, boa acidez, taninos macios, especiarias, final agradável",0.0,0.0,130.9,130.9,0.0,Maison Bouachon Les Bariannes Signargues 2017,www.vivino.com/wines/160165011,,,
Quinta de Pancas Grande Reserva 2015,wine.com.br/vinhos/quinta-de-pancas-grande-reserva-2015/prod22373.html,Portugal,tinto,"Estruturado, boa acidez, taninos presentes, amadeirado, final longo",4.5,2.0,304.59,549.9,0.4460992907801419,Quinta de Pancas Grande Reserva Tinto 2015,www.vivino.com/wines/153201919,4.0,127.0,164.58
Barahonda Sin-Madera Monastrell 2016,wine.com.br/vinhos/barahonda-sin-madera-monastrell-2016/prod17770.html,Espanha,tinto,"Frutado, equilibrado, médio corpo, taninos macios, fresco, bom final",4.0,74.0,92.82,102.9,0.09795918367346945,Barahonda Sin-Madera Monastrell 2016,www.vivino.com/wines/137974824,3.5,638.0,75.0
Ropiteau Frères Bourgogne Hautes-Côtes de Nuits 2014,wine.com.br/vinhos/ropiteau-freres-bourgogne-hautes-cotes-de-nuits-2014/prod17500.html,França,tinto,"Delicado, leve, boa acidez, taninos macios, bom final",2.0,2.0,235.18,301.9,0.22100033123550833,Ropiteau Freres Bourgogne Hautes-Côtes de Nuits 2014,www.vivino.com/wines/132030218,3.5,85.0,115.0
Bodegas Alceño Calaña D.O. Jumilla Red Blend 2016,wine.com.br/vinhos/bodegas-alceno-calana-d-o-jumilla-red-blend-2016/prod17602.html,Espanha,tinto,"Frutado, saboroso, taninos presentes, boa acidez, médio corpo, bom final",4.0,66.0,76.35,93.9,0.18690095846645383,Alceño Calaña Red Blend 2016,www.vivino.com/wines/154703581,3.6,1319.0,
Pancas Tinto 2017,wine.com.br/vinhos/pancas-tinto-2017/prod24286.html,Portugal,tinto,"Frutado, fresco, taninos macios, corpo de leve para médio",4.0,1.0,62.24,84.9,0.266902237926973,Quinta de Pancas Tinto 2017,www.vivino.com/wines/150479395,3.4,276.0,
Quinta de Pancas Reserva 2017,wine.com.br/vinhos/quinta-de-pancas-reserva-2017/prod24287.html,Portugal,tinto,"Encorpado, taninos macios, boa acidez, final longo",0.0,0.0,214.0,245.9,0.12972753151687677,Quinta de Pancas Reserva Tinto 2017,www.vivino.com/wines/153021204,3.7,43.0,139.0
Tenuta Sant'Antonio La Bandina D.O.C. Valpolicella Superiore 2013,wine.com.br/vinhos/tenuta-sant-antonio-la-bandina-d-o-c-valpolicella-superiore-2013/prod17826.html,Itália,tinto,"Corpo de médio para encorpado, acidez delicada, taninos sedosos, doçura discreta, final longo",4.0,2.0,226.94,329.9,0.3120945741133676,Tenuta Sant'Antonio La Bandina Valpolicella Superiore 2013,www.vivino.com/wines/10433393,3.8,371.0,129.0
Château Pichon Baron au Baron de Pichon-Longueville 2012,wine.com.br/vinhos/chateau-pichon-baron-au-baron-de-pichon-longueville-2012/prod19468.html,França,tinto,"Potente, taninos presentes, acidez agradável, final longo",4.0,1.0,2172.82,3541.9,0.38653829865326517,Château Pichon Baron Les Tourelles de Longueville Pauillac 2012,www.vivino.com/wines/2300251,4.1,641.0,
Carillon d'Angélus 2015,wine.com.br/vinhos/carillon-d-angelus-2015/prod19470.html,França,tinto,"Corpo de médio para encorpado, taninos macios, boa acidez, boa persistência",0.0,0.0,1775.18,2887.9,0.3853042002839433,Château Angelus Le Carillon d’Angélus Saint-Émilion Grand Cru 2015,www.vivino.com/wines/20449111,4.2,153.0,
La Capitelle de Baronarques 2015,wine.com.br/vinhos/la-capitelle-de-baronarques-2015/prod19477.html,França,tinto,"Estruturado, acidez agradável, taninos presentes, final persistente",0.0,0.0,299.88,411.9,0.271959213401311,Baron Philippe de Rothschild La Capitelle de Baronarques 2015,www.vivino.com/wines/160941538,3.7,28.0,
Château Lynch-Bages 2015,wine.com.br/vinhos/chateau-lynch-bages-2015/prod19467.html,França,tinto,"Potente, concentrado, taninos presentes, boa acidez, muito complexo, final persistente",0.0,0.0,2418.71,3848.9,0.37158408896048223,Château Lynch-Bages Pauillac (Grand Cru Classé) 2015,www.vivino.com/wines/14295289,4.3,450.0,
Château de Beaucastel Hommage à Jacques Perrin 2010,wine.com.br/vinhos/chateau-de-beaucastel-hommage-a-jacques-perrin-2010/prod19464.html,França,tinto,"Denso, exuberante, estruturado, concentrado, boa acidez, taninos presentes, final persistente",0.0,0.0,6739.88,10789.9,0.3753528763009851,Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape 2010,www.vivino.com/wines/3896910,4.5,503.0,
Château Palmer 2005,wine.com.br/vinhos/chateau-palmer-2005/prod19465.html,França,tinto,"Concentrado, elegante, potente, taninos presentes, boa acidez, final persistente",0.0,0.0,6502.24,10502.9,0.3809100343714593,Château Palmer Alter Ego Margaux 2005,www.vivino.com/wines/1722841,4.3,431.0,
La Chamiza Reserve Polo Profesional Malbec 2017,wine.com.br/vinhos/la-chamiza-reserve-polo-profesional-malbec-2017/prod19385.html,Argentina,tinto,"Médio corpo, acidez agradável, taninos macios, frutado, bom final",4.5,55.0,82.24,102.9,0.2007774538386784,La Chamiza Malbec Polo Professional  Reserve 2017,www.vivino.com/wines/150643545,3.6,736.0,
Marianne Selena Blend 2015,wine.com.br/vinhos/marianne-selena-blend-2015/prod19499.html,África do Sul,tinto,"Médio corpo, fresco, frutado",4.0,59.0,82.24,132.9,0.38118886380737405,Marianne Selena Red Blend 2015,www.vivino.com/wines/64744784,3.6,359.0,
Chateau Fongaban 2016,wine.com.br/vinhos/chateau-fongaban-2016/prod19479.html,França,tinto,"Estruturado, taninos presentes, acidez agradável, frutado, amadeirado",3.0,1.0,148.12,190.9,0.2240963855421687,Château Fongaban Puisseguin-Saint-Émilion 2016,www.vivino.com/wines/145586773,3.6,84.0,
Cent'Are I.G.P. Terre Siciliane Nero d'Ávola 2015,wine.com.br/vinhos/cent-are-i-g-p-terre-siciliane-nero-d-avola-2015/prod19320.html,Itália,tinto,"Frutado, médio corpo, acidez agradável, taninos macios, bom final",4.0,22.0,58.71,92.9,0.36803013993541445,Cantine Pellegrino Cent'Are Nero d'Avola 2015,www.vivino.com/wines/59682386,3.5,577.0,
Château Roylland 2012,wine.com.br/vinhos/chateau-roylland-2012/prod19481.html,França,tinto,"Médio corpo, boa acidez, taninos macios, final persistente",4.5,2.0,298.71,423.9,0.2953290870488323,Château Roylland Saint-Émilion Grand Cru 2012,www.vivino.com/wines/2109268,3.9,106.0,190.0
Château La Fleur-Pétrus 2014,wine.com.br/vinhos/chateau-la-fleur-petrus-2014/prod19482.html,França,tinto,"Complexo, elegante, corpo de médio para encorpado, boa acidez, taninos macios, ",4.0,1.0,4044.59,6564.9,0.3839068378802418,Château La Fleur-Pétrus Pomerol 2014,www.vivino.com/wines/4237999,4.5,180.0,
5 Oros Vendimia Seleccionada D.O.Ca. Rioja 2016,wine.com.br/vinhos/5-oros-vendimia-seleccionada-d-o-ca-rioja-2016/prod19846.html,Espanha,tinto,"Médio corpo, taninos macios, acidez agradável, frutado",4.0,2.0,76.35,110.9,0.3115419296663662,Isidro Milagro 5 Oros Rioja Vendimia Seleccionada 2016,www.vivino.com/wines/149976462,3.5,239.0,75.0
Maycas Del Limarí Reserva Sumaq Syrah Tinto 2017,wine.com.br/vinhos/maycas-del-limari-reserva-sumaq-syrah-tinto-2017/prod19861.html,Chile,tinto,"Médio corpo, boa acidez, taninos macios",4.5,43.0,79.88,99.9,0.20040040040040052,Maycas del Limari Sumaq Reserva Syrah 2017,www.vivino.com/wines/152938601,3.6,469.0,
Finca Constancia Parcela 23 Single Vineyard Tempranillo 2016,wine.com.br/vinhos/finca-constancia-parcela-23-single-vineyard-tempranillo-2016/prod19885.html,Espanha,tinto,"Frutado, médio corpo, taninos macios, fresco",4.0,59.0,72.82,109.9,0.3373976342129209,Finca Constancia Parcela 23 Tempranillo 2016,www.vivino.com/wines/144728489,3.7,478.0,78.0
Tenuta Sant`Antonio dei Gigli D.O.C.G. Amarone della Valpolicella 2013,wine.com.br/vinhos/tenuta-sant-antonio-dei-gigli-d-o-c-g-amarone-della-valpolicella-2013/prod19780.html,Itália,tinto,"Encorpado, boa acidez, taninos aveludados, complexo, intenso, final longo",0.0,0.0,642.24,1021.9,0.37152363244935904,Tenuta Sant'Antonio Campo dei Gigli Amarone della Valpolicella 2013,www.vivino.com/wines/6491534,4.2,367.0,299.73
Baron Philippe de Rothschild Pays D´Oc Pinot Noir 2018,wine.com.br/vinhos/baron-philippe-de-rothschild-pays-d-oc-pinot-noir-2018/prod23808.html,França,tinto,"Frutado, elegante e final expressivo",0.0,0.0,108.12,145.9,0.25894448252227553,Baron Philippe de Rothschild Les Cépages Pinot Noir 2018,www.vivino.com/wines/157495966,3.5,302.0,
Mise de la Baronnie A.O.C. Saint-Émilion 2017,wine.com.br/vinhos/mise-de-la-baronnie-a-o-c-saint-emilion-2017/prod23812.html,França,tinto,"Médio corpo, taninos macios, boa acidez, final longo",0.0,0.0,259.88,296.9,0.12468844728864936,Baron Philippe de Rothschild Mise de La Baronnie Saint-Émilion 2017,www.vivino.com/wines/157182431,3.5,22.0,99.0
Baron Philippe de Rothschild Pays D´Oc Syrah 2018,wine.com.br/vinhos/baron-philippe-de-rothschild-pays-d-oc-syrah-2018/prod23809.html,França,tinto,"Bom equilíbrio entre densidade e acidez, e um final longo e poderoso com taninos maduros",0.0,0.0,108.12,145.9,0.25894448252227553,Baron Philippe de Rothschild Les Cépages Syrah 2018,www.vivino.com/wines/161367944,3.7,28.0,
Baron Philippe de Rothschild Pays D´Oc Cabernet Sauvignon 2018,wine.com.br/vinhos/baron-philippe-de-rothschild-pays-d-oc-cabernet-sauvignon-2018/prod23805.html,França,tinto,"Bom corpo, taninos firmes e final persistente",3.0,1.0,145.9,145.9,0.0,Baron Philippe de Rothschild Les Cépages Cabernet Sauvignon 2018,www.vivino.com/wines/157495967,3.3,53.0,
Baron Philippe de Rothschild Pays D´Oc Merlot 2018,wine.com.br/vinhos/baron-philippe-de-rothschild-pays-d-oc-merlot-2018/prod23807.html,França,tinto,"Frutado, corpo médio, taninos bem integrados",0.0,0.0,108.12,145.9,0.25894448252227553,Baron Philippe de Rothschild Merlot 2018,www.vivino.com/wines/156886148,3.4,147.0,
Oxford Landing Cabernet Shiraz 2016,wine.com.br/vinhos/oxford-landing-cabernet-shiraz-2016/prod19728.html,Austrália,tinto,"Corpo de leve para médio, boa acidez, taninos presentes, boa persistência",4.0,11.0,58.71,120.9,0.5143920595533499,Oxford Landing Cabernet Sauvignon - Shiraz 2016,www.vivino.com/wines/145609415,3.3,282.0,
Petravia I.G.T. Puglia Aglianico 2016,wine.com.br/vinhos/petravia-i-g-t-puglia-aglianico-2016/prod23842.html,Itália,tinto,"Acidez marcante, robusto e com taninos firmes",4.0,23.0,152.18,152.18,0.0,Masseria Altemura Petravia Puglia 2016,www.vivino.com/wines/153223601,3.7,591.0,
Domaine de Cibadiès Bellevue Pinot Noir 2016,wine.com.br/vinhos/domaine-de-cibadies-bellevue-pinot-noir-2016/prod19664.html,França,tinto,"Médio corpo, taninos presentes, boa acidez, amadeirado, gastronômico, persistência agradável ",3.5,10.0,189.9,189.9,0.0,Domaine de Cibadiès Bellevue Pinot Noir 2016,www.vivino.com/wines/162260720,3.9,22.0,
Finca Trapezio Bo Bó Bourgeois Cabernet Sauvignon 2018,wine.com.br/vinhos/finca-trapezio-bo-bo-bourgeois-cabernet-sauvignon-2018/prod23667.html,Argentina,tinto,"Acidez equilibrada, taninos macios, final longo",4.0,24.0,141.9,141.9,0.0,Trapezio Bo Bó Cabernet Sauvignon 2018,www.vivino.com/wines/162462133,3.6,484.0,
Monte Araya Gran Reserva D.O.Ca. Rioja 2013,wine.com.br/vinhos/monte-araya-gran-reserva-d-o-ca-rioja-2013/prod23635.html,Espanha,tinto,"Encorpado, acidez equilibrada e final persistente",4.5,10.0,231.9,231.9,0.0,Monte Araya Gran Reserva 2013,www.vivino.com/wines/163570369,3.8,218.0,
Monte Araya Reserva D.O.Ca. Rioja 2014,wine.com.br/vinhos/monte-araya-reserva-d-o-ca-rioja-2014/prod23633.html,Espanha,tinto,"Robusto, taninos polidos e final persistente",4.5,16.0,223.9,223.9,0.0,Monte Araya Reserva 2014,www.vivino.com/wines/161998592,3.8,312.0,
Finca Trapezio Bo Bó Bohemian Malbec 2018,wine.com.br/vinhos/finca-trapezio-bo-bo-bohemian-malbec-2018/prod23668.html,Argentina,tinto,"Taninos macios, frutado, final de tosta elegante",4.0,25.0,141.9,141.9,0.0,Trapezio Bo Bó Malbec 2018,www.vivino.com/wines/163360753,3.6,451.0,
Carpineto Farnito I.G.T. Toscana Cabernet Sauvignon 2013,wine.com.br/vinhos/carpineto-farnito-i-g-t-toscana-cabernet-sauvignon-2013/prod23708.html,Itália,tinto,"Médio corpo, acidez agradável, taninos presentes, bom final",0.0,0.0,282.24,319.9,0.11772428884026254,Carpineto Farnito Cabernet Sauvignon Toscana 2013,www.vivino.com/wines/10341289,3.8,411.0,
